type,db,numKeys,t0,t1,t2,t3,t4
batch write,hyper,10,6578438,2123146,26105695,153593289,115587049
batch write,level,10,78771178,86316282,651085,1119291,2889257
batch write,memHyper,10,11367287,7606942,6563058,11374811,12251744
batch write,memLevel,10,8858949,4415233,2669677,6154487,3389644
batch write,hyper,100,165112472,31014162,140982913,124975332,134420241
batch write,level,100,2861215,715214,2428262,3189055,3654005
batch write,memHyper,100,17655981,11865170,25722003,25037681,16856399
batch write,memLevel,100,3092676,2866449,3654665,2961666,21576144
batch write,hyper,1000,134250776,94093844,70151324,53894788,187707087
batch write,level,1000,8938461,4873122,8701081,3364138,5106700
batch write,memHyper,1000,34928089,24217301,23750056,22303500,24437886
batch write,memLevel,1000,15339087,4986763,5999105,25799009,5459232
batch write,hyper,10000,656359449,551687106,533659709,535279865,539524453
batch write,level,10000,48401345,46451638,30304224,32809593,32674827
batch write,memHyper,10000,264192349,256257697,318367338,256212610,245636095
batch write,memLevel,10000,73516055,42865452,59239509,40099219,63616468
batch write,hyper,100000,15625633759,15965560793,16131926589,15919715021,16590199069
batch write,level,100000,703717110,524198083,608672237,505123897,495557874
batch write,memHyper,100000,3985132862,4868948710,5162901550,4775769843,4459181463
batch write,memLevel,100000,290430572,291894096,308288422,305982032,297051011
single write,hyper,10,9749869,48871818,136201428,93526934,51718671
single write,level,10,664734,953868,796366,1777121,880329
single write,memHyper,10,3093325,7419824,19047632,3497325,12275359
single write,memLevel,10,2535399,2697462,3216438,2441145,4957006
single write,hyper,100,208616842,63448889,164826550,220411517,26499040
single write,level,100,2313012,2345666,2027459,2081929,1885183
single write,memHyper,100,29341098,19534942,24389625,20118008,19096262
single write,memLevel,100,3552344,3136774,2277520,4955380,41814576
single write,hyper,1000,421345613,219599829,221987202,260364183,199005256
single write,level,1000,19881592,24073017,21609211,18234571,19598685
single write,memHyper,1000,133891176,103030949,109865005,116069337,99050199
single write,memLevel,1000,7632126,52186482,6780771,10379164,51313725
single write,hyper,10000,2609293454,2545555629,2607353268,2541876482,2552267865
single write,level,10000,199787234,185642798,207165072,201674082,182638691
single write,memHyper,10000,1204261070,1242548746,1185260920,1248602383,1160382123
single write,memLevel,10000,88995349,36532824,35812507,94471352,37513906
single write,hyper,100000,42483770332,43302519102,43063786260,44885997553,42471452970
single write,level,100000,1910356956,2058898756,2039445797,2086765867,1979372539
single write,memHyper,100000,19667588270,19330737877,20467900064,20659730914,20432143766
single write,memLevel,100000,488121251,527217735,573013162,517018446,513086359
